0,Доля_детей_5-18 лет,Естесственный_прирост_населения,Количество_малых_и_средних_предприятий,Миграционный_прирост_населения,Общий_коэффициент_рождаемости,Общий_коэффициент_смертности,Площадь_жилых_помещений_на_1_жителя,Процент_парков_и_лесов_от_площади,Процент_работающих_в_малом_и_среднем_бизнесе,Средняя_зарплата_сотрудников_крупных_организаций,Стоимость_съема_квартиры_площадью_в_40_м2,Цена_за_квадратный_метр_жилья_медианная,Выдано_разрешений_на_строительство,Численность_населения
городской округ Троицк,13.45,4.6,274.11,7.55,12.5,7.9,19.2,3.433073402,40.85,59406.0,22500.0,103678.9298,4,60900
городской округ Щербинка,11.5,2.1,156.18,-10.46,11.3,9.2,18.6,1.459043615,35.72,62501.7,22222.0,101147.0282,2,49300
Даниловский район,12.1,-3.3,917.32,7.66,6.4,9.7,17.4,2.290452695,39.62,99175.0197,41185.0,205428.6738,11,93400
Дмитровский район,9.72,5.1,180.51,11.38,12.4,7.3,15.0,20.51721766,36.69,75984.14004,28571.0,146072.9266,5,92900
Донской район,12.53,1.5,807.85,19.44,7.8,6.3,17.9,4.574145662,32.56,104715.3381,40000.0,217486.6537,3,51800
район Дорогомилово,7.59,0.2,471.49,13.55,7.7,7.5,20.6,18.83626836,37.1,87028.25933,46188.0,259597.8062,3,73900
район Замоскворечье,11.75,2.6,1353.21,11.1,8.9,6.3,20.4,1.158341584,20.58,105825.4697,50000.0,338562.8556,2,58200
район Западное Дегунино,13.91,-2.0,239.78,10.02,9.7,11.7,19.0,4.636827999,50.85,53120.0,29333.0,147934.9415,5,82400
район Зюзино,10.71,-2.2,178.31,13.95,7.7,9.9,17.6,5.619484314,52.88,68328.44636,33660.0,184563.7584,4,126500
район Зябликово,12.64,-0.9,144.02,7.77,8.6,9.5,14.3,3.77108016,55.15,72571.87068,30189.0,150000.0,4,133000
район Ивановское,9.52,-5.8,155.39,10.73,7.0,12.8,16.4,31.71436325,75.75,60339.27645,29333.0,142857.1429,3,127500
район Измайлово,10.0,-1.9,307.39,5.13,7.2,9.1,18.6,15.98366322,59.38,65288.39386,31579.0,168635.1271,4,106500
район Капотня,10.85,-2.8,89.82,7.13,6.0,8.8,12.4,5.937822731,27.02,87482.08026,28462.0,115714.2857,11,32300
район Коньково,9.85,-5.0,284.92,15.69,7.8,12.8,19.5,6.28547229,26.25,66751.72153,34375.0,165144.5649,3,156100
район Коптево,13.01,-3.6,209.33,19.44,7.0,10.6,18.3,0.941614604,41.57,80913.19782,32727.0,169000.0,3,101500
район Косино-Ухтомский,15.33,8.4,133.34,13.21,12.9,4.5,18.4,5.51601471,64.14,64894.97552,25385.0,138364.7799,10,81200
район Котловка,11.76,-4.3,214.34,11.16,7.8,12.1,15.9,11.85378463,41.29,95705.78867,36159.5,176393.1889,2,65800
Красносельский район,10.71,3.9,1366.4,8.03,11.0,7.1,19.0,1.029544083,16.32,133120.1,46250.0,234154.9296,4,48500
район Крылатское,11.97,2.7,246.45,8.8,9.0,6.3,22.3,21.66410299,31.99,176535.8104,37500.0,211111.1111,3,82400
район Крюково,12.2,5.6,185.44,27.02,16.0,10.4,19.9,5.166933,83.22,76711.5,21538.0,99299.34971,8,96700
район Кузьминки,10.55,-1.1,129.23,8.59,7.3,8.4,16.0,1.453299793,74.76,65116.06576,31429.0,156250.0,3,145500
район Кунцево,12.47,1.0,192.36,7.13,10.9,9.9,20.6,9.191635401,41.32,73257.17633,35000.0,187500.0,8,151000
район Куркино,15.92,6.1,583.75,22.21,10.7,4.6,32.5,43.07629163,89.51,57957.51232,28235.0,166666.6667,4,32800
район Левобережный,10.39,2.6,199.42,14.03,12.4,9.8,21.0,19.44716218,33.37,68769.70589,33104.0,156756.7568,5,53600
